F9,F7,F3,Fz,F4,F8,F10,FC5,FC1,FC2,FC6,T9,T7,C3,C4,T8,T10,CP5,CP1,CP2,CP6,P9,P7,P3,Pz,P4,P8,P10
1.9864,3.6606,-4.9323,2.2378,0.0334,5.1603,5.8069,0.3234,10.6477,0.2181,-5.2779,4.4372,6.1565,-9.8897,-12.0947,-11.5691,-7.1646,-9.0947,-10.9723,-8.1019,-5.7971,-5.5857,-6.3361,-14.445,-19.8164,-11.5199,1.9356,-6.0374
2.0961,2.6169,-6.0182,2.1829,0.3725,5.7098,6.163,0.0766,11.2364,0.5139,-4.8332,5.1983,6.3095,-9.06,-9.9309,-10.8346,-6.612,-9.2802,-10.4967,-7.4533,-5.2101,-5.7866,-5.216,-13.2152,-19.3862,-10.017,3.089,-5.1018
3.8943,7.9144,-0.1216,6.1318,0.7422,4.8094,5.8645,-1.8678,6.0941,-1.891,-8.2849,-0.6767,-0.248,-15.4962,-14.1204,-15.7266,-9.6792,-11.7691,-9.6587,-9.285,-6.5828,-5.3358,-5.0816,-9.9072,-13.9898,-7.4439,2.8693,-4.6401
2.9519,7.2104,-0.3291,5.0429,-0.2801,1.9173,2.2128,-5.2298,0.8677,-5.0419,-11.3325,-5.3371,-5.452,-18.5378,-16.7259,-18.3327,-12.8389,-14.3186,-11.5124,-12.1448,-9.1271,-6.2135,-7.0268,-11.3481,-13.8177,-8.2829,3.2005,-5.3357
2.0065,3.0324,-3.2926,2.6866,-0.8103,2.148,2.7043,-3.1701,4.0396,-4.2908,-9.1584,-1.2352,-0.9535,-11.1398,-10.3772,-12.671,-11.048,-12.0831,-10.6905,-10.7858,-9.1492,-7.8961,-7.238,-11.7067,-14.5401,-7.9751,4.6021,-4.0159
2.8275,2.4312,-1.869,3.5403,0.381,4.6041,6.2391,1.4073,8.4469,-0.6224,-3.9881,4.1046,4.5904,-3.233,-2.1855,-5.3522,-5.3734,-6.4965,-5.2,-5.126,-4.9415,-6.2518,-3.2492,-5.7138,-9.1097,-3.2384,4.5466,-0.8818
2.9759,2.0336,-0.647,4.0673,1.1957,4.1589,5.2961,0.3415,5.4314,-0.2945,-2.6569,2.506,1.5565,-2.6161,1.3122,-3.6346,-3.1912,-5.0956,-1.7987,-2.3919,-2.2846,-4.126,0.3066,0.1719,-2.8866,1.8606,4.9118,1.4706
2.0965,1.3114,-0.1684,3.1604,0.1144,0.8525,1.3373,-3.1635,-0.7613,-3.9051,-5.8688,-2.8159,-4.4902,-5.1555,-0.3685,-5.7099,-6.4459,-7.4804,-2.9642,-5.132,-4.9754,-5.1081,-1.4388,-0.1315,-1.013,2.0849,5.5052,1.3899
-0.1894,-1.2844,-1.8328,-0.2445,-1.4576,-2.7453,-3.3048,-5.4225,-5.1739,-6.0499,-7.0352,-5.8466,-7.1991,-5.2138,-2.5195,-5.7222,-7.818,-7.615,-4.8205,-6.9188,-6.6929,-5.1442,-4.0271,-3.4174,-2.4161,-0.878,4.2074,-0.2207
-1.7281,-4.3351,-3.7356,-2.7501,-1.8321,-4.3904,-5.9166,-6.49,-7.3602,-6.0979,-5.7433,-6.3609,-8.1683,-2.9567,-0.2998,-3.2763,-6.2508,-6.1081,-4.0179,-5.6186,-5.5268,-4.0512,-3.2376,-2.6345,-1.2229,-0.1761,3.8459,0.1994
